zpid,streetAddress,zipcode,city,state,latitude,longitude,price,dateSold,bathrooms,bedrooms,livingArea,homeType,homeStatus,daysOnZillow,isFeatured,shouldHighlight,zestimate,rentZestimate,isUnmappable,isPreforeclosureAuction,priceForHDP,timeOnZillow,isNonOwnerOccupied,isPremierBuilder,isZillowOwned,currency,country,taxAssessedValue,lotAreaValue,lotAreaUnit,isShowcaseListing,listing_sub_type.is_FSBA,homeStatusForHDP,datePriceChanged,priceReduction,priceChange,isRentalWithBasePrice,contingentListingType,listing_sub_type.is_accepting_backup_offers,providerListingID,newConstructionType,listing_sub_type.is_newHome,videoCount,openHouse,listing_sub_type.is_openHouse,open_house_info.open_house_showing,unit,listing_sub_type.is_bankOwned,listing_sub_type.is_forAuction,rentalMarketingSubType
61224848,1809 Lowe Dr,95776,Woodland,CA,38.67067,-121.73741,659888.0,1710831600000,3.0,5.0,2884.0,SINGLE_FAMILY,PENDING,-1,False,False,660800.0,3099,False,False,659888.0,182062000.0,True,False,False,USD,USA,526279.0,5663.0,sqft,False,True,,,,,,,,,,,,,,,,,,
94705074,1627 Flores Way,95776,Woodland,CA,38.65378,-121.739235,605000.0,1710486000000,3.0,3.0,2009.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,605100.0,2974,False,False,605000.0,,True,False,False,USD,USA,417094.0,6970.0,sqft,False,,RECENTLY_SOLD,,,,,,,,,,,,,,,,,
16517223,985 Bourn Dr,95776,Woodland,CA,38.66485,-121.746864,548000.0,1710313200000,2.0,3.0,1497.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,548300.0,2650,False,False,548000.0,700462000.0,True,False,False,USD,USA,283851.0,5663.0,sqft,False,,RECENTLY_SOLD,,,,,,,,,,,,,,,,,
16538152,1391 Parkview Dr,95776,Woodland,CA,38.672813,-121.75735,525000.0,1709884800000,3.0,3.0,1484.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,525500.0,2650,False,False,525000.0,1132462000.0,True,False,False,USD,USA,200006.0,7344.216,sqft,False,,RECENTLY_SOLD,,,,,,,,,,,,,,,,,
331205085,1805 Sander St,95776,Woodland,CA,38.64971,-121.74006,640000.0,1709625600000,3.0,4.0,2587.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,640200.0,3350,False,False,640000.0,1391662000.0,True,False,False,USD,USA,626320.0,6604.0,sqft,False,,RECENTLY_SOLD,,,,,,,,,,,,,,,,,
331204862,1721 Brubaker St,95776,Woodland,CA,38.65101,-121.740906,634000.0,1709280000000,4.0,4.0,2216.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,634700.0,3422,False,False,634000.0,1737262000.0,True,False,False,USD,USA,469330.0,4752.396,sqft,False,,RECENTLY_SOLD,,,,,,,,,,,,,,,,,
339006946,1650 Pena Ln,95776,Woodland,CA,38.658985,-121.75747,452500.0,1709193600000,3.0,4.0,2013.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,501200.0,3063,False,False,452500.0,1823662000.0,True,True,False,USD,USA,26077.0,,,False,,RECENTLY_SOLD,1704873600000.0,"$5,000 (Jan 10)",-5000.0,,,,,,,,,,,,,,
339006962,1662 Richie Ln,95776,Woodland,CA,38.658665,-121.75703,445000.0,1709193600000,3.0,4.0,2171.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,529600.0,2995,False,False,445000.0,1823662000.0,True,True,False,USD,USA,23239.0,,,False,,RECENTLY_SOLD,,,,,,,,,,,,,,,,,
339006978,1668 Matmor Rd,95776,Woodland,CA,38.658573,-121.75676,510000.0,1709193600000,3.0,4.0,2185.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,545200.0,2995,False,False,510000.0,1823662000.0,True,True,False,USD,USA,465762.0,,,False,,RECENTLY_SOLD,,,,,,,,,,,,,,,,,
339006979,1664 Matmor Rd,95776,Woodland,CA,38.658684,-121.75676,470000.0,1709193600000,2.5,3.0,2031.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,True,False,528500.0,2895,False,False,2850.0,1823662000.0,True,False,False,USD,USA,457167.0,,,False,,FOR_RENT,,,,False,,,,,,,,,,,,,
114454049,1347 Hadley Dr,95776,Woodland,CA,38.657585,-121.75897,580000.0,1709107200000,2.0,4.0,1943.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,581700.0,2949,False,False,580000.0,1910062000.0,True,False,False,USD,USA,477127.0,5227.2,sqft,False,,RECENTLY_SOLD,,,,,,,,,,,,,,,,,
